Time (UTC+08:00),Clicks,Impressions,CTR,Position
2026-06-07T18:00:00,0,5,0%,8
2026-06-07T19:00:00,0,8,0%,21.5
2026-06-07T20:00:00,0,4,0%,6.2
2026-06-07T21:00:00,0,12,0%,8
2026-06-07T22:00:00,0,3,0%,8
2026-06-07T23:00:00,0,14,0%,9.7
2026-06-08T00:00:00,0,15,0%,12.2
2026-06-08T01:00:00,0,6,0%,6.5
2026-06-08T02:00:00,0,10,0%,4.5
2026-06-08T03:00:00,0,14,0%,11.1
2026-06-08T04:00:00,0,11,0%,14.4
2026-06-08T05:00:00,0,22,0%,25
2026-06-08T06:00:00,1,16,6.25%,8.4
2026-06-08T07:00:00,0,22,0%,46.3
2026-06-08T08:00:00,0,13,0%,11.1
2026-06-08T09:00:00,0,14,0%,8.4
2026-06-08T10:00:00,0,12,0%,30.8
2026-06-08T11:00:00,0,14,0%,23.6
2026-06-08T12:00:00,0,6,0%,6.8
2026-06-08T13:00:00,0,4,0%,33.5
2026-06-08T14:00:00,0,14,0%,14.6
2026-06-08T15:00:00,0,4,0%,10.5
2026-06-08T16:00:00,0,2,0%,3
2026-06-08T17:00:00,0,0,0%,0
