Country,Clicks,Impressions,CTR,Position
United States,1,156,0.64%,21
United Kingdom,0,19,0%,14.05
Canada,0,8,0%,11.88
Australia,0,6,0%,11.17
Philippines,0,5,0%,4
Singapore,0,5,0%,6.4
Malaysia,0,4,0%,5.5
India,0,4,0%,6
Netherlands,0,4,0%,6.75
Germany,0,2,0%,5
Papua New Guinea,0,2,0%,5
Brazil,0,2,0%,7.5
Qatar,0,2,0%,7.5
Bosnia & Herzegovina,0,2,0%,8
New Zealand,0,2,0%,10.5
United Arab Emirates,0,2,0%,12.5
Morocco,0,1,0%,1
Malawi,0,1,0%,1
Pakistan,0,1,0%,1
Peru,0,1,0%,1
Saudi Arabia,0,1,0%,1
Colombia,0,1,0%,2
Bulgaria,0,1,0%,4
Thailand,0,1,0%,4
Chile,0,1,0%,5
Mexico,0,1,0%,6
South Africa,0,1,0%,7
Ireland,0,1,0%,8
Finland,0,1,0%,9
Kenya,0,1,0%,9
Mozambique,0,1,0%,9
Venezuela,0,1,0%,9
Italy,0,1,0%,10
Ghana,0,1,0%,11
South Korea,0,1,0%,50
Argentina,0,1,0%,76
